EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
"880671",Adams,CARL,03/28/2020,"1259",Tornado, ,EF0,"0","0","30000","0",IA,CST-6, ,"146548",C,"3",DMX,"0","0",Emergency Manager, ,"0.57","100","3",NE,"3",W,WILLIAMSON,03/28/2020,"1300","41.1507","-94.6368","41.1579","-94.6316",Tornado developed just south of the Adams/Adair county line moving northeast.  The tornado encountered a farmstead producing EF0 damage to an outbuilding.  The northeast trajectory took the tornado into Adair county shortly after impacting the farmstead.,Six tornadoes occurred across central Iowa during the afternoon.  The tornadoes remained in rural areas with some damage to farm buildings and trees.  No injuries or deaths were reported.,"1"
"880672",Adair,FISK,03/28/2020,"1300",Tornado, ,EF1,"0","0","95000","0",IA,CST-6, ,"146548",C,"1",DMX,"0","0",Emergency Manager, ,"6.9","115","6",WSW,"4",NNW,FISK,03/28/2020,"1315","41.1579","-94.6316","41.2443","-94.5652",Tornado moved into Adair county from Adams county.  The tornado remained in rural southern Adair county as it moved to the northeast.  It did encounter one farmstead and produced EF1 damage to an outbuilding along with additional tree damage.  The rest of the track was in rural cropland before dissipating several miles south of Fontanelle.,Six tornadoes occurred across central Iowa during the afternoon.  The tornadoes remained in rural areas with some damage to farm buildings and trees.  No injuries or deaths were reported.,"2"
"880684",Marshall,RHODES,03/28/2020,"1526",Tornado, ,EF0,"0","0","0","0",IA,CST-6, ,"146548",C,"127",DMX,"0","0",Storm Chaser, ,"1.3","75","4",SSW,"2",SSW,RHODES,03/28/2020,"1528","41.8819","-93.206","41.9005","-93.2022","Several different videos of this tornado as it started over State Highway 330 and move mostly northward.  It moved through a few different groves of tree producing EF0 damage.  Otherwise, it remained in rural areas with no damage to any structures.",Six tornadoes occurred across central Iowa during the afternoon.  The tornadoes remained in rural areas with some damage to farm buildings and trees.  No injuries or deaths were reported.,"3"
"880685",Black Hawk,VOORHIES,03/28/2020,"1639",Tornado, ,EFU,"0","0","0","0",IA,CST-6, ,"146548",C,"13",DMX,"0","0",Trained Spotter, ,"2.32","40","1",SSE,"2",ENE,VOORHIES,03/28/2020,"1642","42.3136","-92.4686","42.3399","-92.4404","Picture of tornado near Voorhies was received from trained spotter.   The path of the tornado was later discovered in high resolution satellite imagery and adjusted accordingly.  The tornado remained in rural farm fields although passed very close to a house near the intersection of State Highway 175 and Highway 63, although no damage was reported.  With no damage occurring to any damage indicators, the tornado was rated an EFU.",Six tornadoes occurred across central Iowa during the afternoon.  The tornadoes remained in rural areas with some damage to farm buildings and trees.  No injuries or deaths were reported.,"4"
"880686",Black Hawk,ORANGE,03/28/2020,"1649",Tornado, ,EF0,"0","0","75000","0",IA,CST-6, ,"146548",C,"13",DMX,"0","0",Broadcast Media, ,"2.06","115","1",SW,"1",N,ORANGE,03/28/2020,"1651","42.4201","-92.3874","42.4461","-92.3676",Tornado developed in rural farmland between Hudson and Waterloo moving quickly northeast.  The tornado encountered an building site destroying a hay shelter building that was open on both sides.  Additional damage occurred to a small storage building and trees on the site.  All damage was rated EF0.  The tornado continued northeast and dissipated before reaching Highway 20 on the south side of Waterloo.,Six tornadoes occurred across central Iowa during the afternoon.  The tornadoes remained in rural areas with some damage to farm buildings and trees.  No injuries or deaths were reported.,"5"
"880687",Black Hawk,EVANSDALE,03/28/2020,"1655",Tornado, ,EFU,"0","0","0","0",IA,CST-6, ,"146548",C,"13",DMX,"0","0",Storm Chaser, ,"0.32","20","2",W,"2",WNW,EVANSDALE,03/28/2020,"1656","42.4725","-92.3138","42.4758","-92.3095","Brief tornado was caught on video by a storm chaser.  The chaser was located just south of the Highway 20 and Highway 218 intersection looking northward toward downtown Waterloo.  The tornado occurred in an unpopulated area southeast of downtown near the Waterloo Waste Water Treatment Plant along the Cedar River.  It is likely some tree damage occurred, however no reports were received, therefore the tornado was rated EFU.",Six tornadoes occurred across central Iowa during the afternoon.  The tornadoes remained in rural areas with some damage to farm buildings and trees.  No injuries or deaths were reported.,"6"
"880150",Buchanan,JESUP,03/28/2020,"1715",Tornado, ,EF1,"0","0","0","0",IA,CST-6, ,"146466",C,"19",DVN,"0","0",NWS Storm Survey, ,"7.38","50","3",NW,"3",SE,FAIRBANK,03/28/2020,"1725","42.5086","-92.0809","42.6035","-92.0144","A tornado touched down north of Jesup, Iowa about 615 PM CDT, March 28th. The tornado moved northeast and caused damage to outbuildings and a barn, and uprooted trees at a farmstead. The tornado was on the ground for about 10 minutes, and traveled a little more than 7 miles. The tornado was rated EF-1, with maximum winds around 90 mph.","A strong low pressure system tracked from southwest Iowa to north central Iowa Saturday afternoon. Storms developed, moved across a warm front, and four tornadoes touched down over eastern Iowa and northwest Illinois.  A few other storms brought small hail and damaging wind to portions of the region Saturday night.","7"
"878419",Fayette,OELWEIN MUNI ARPT,03/28/2020,"1730",Tornado, ,EF1,"0","0","165000","5000",IA,CST-6, ,"146196",C,"65",ARX,"1","0",Emergency Manager, ,"3.93","140","3",SE,"2",NNW,OELWEIN,03/28/2020,"1736","42.648","-91.9414","42.7013","-91.9146","An EF1 tornado moved through the west and northwest side of Oelwein during the late afternoon of March 28th. The tornado produced extensive tree damage at Red Gate Park, blew in the wall of an apartment building and damaged the siding and roof of a second apartment building. The building that sustained the wall damage was condemned. One person was injured at the apartment complex when they stepped on broken glass. At least two vehicles parked outside the apartment complex were heavily damaged.","Thunderstorms developed along a warm front across portions of northeast Iowa during the late afternoon of March 28th. These storms spawned two tornadoes that touched down in Fayette County. The first tornado moved through the western sections of Oelwein, damaging apartment buildings and numerous trees in Red Gate Park and a nearby cemetery. One of the damaged apartment buildings was condemned. The second tornado damaged several farm buildings near Maynard. The storms also produced some large hail with quarter sized hail reported in Elkader (Clayton County) and Monona (Clayton County).","8"
"878425",Fayette,MAYNARD,03/28/2020,"1740",Tornado, ,EF0,"0","0","75000","0",IA,CST-6, ,"146196",C,"65",ARX,"0","0",Emergency Manager, ,"3.6","50","1",SSE,"3",NNE,MAYNARD,03/28/2020,"1743","42.7525","-91.8552","42.804","-91.8448",An EF0 tornado touched down touched down southeast of Maynard and move north-northeast before dissipating between Maynard and Fayette. Several farm buildings were damaged along the path of the tornado.,"Thunderstorms developed along a warm front across portions of northeast Iowa during the late afternoon of March 28th. These storms spawned two tornadoes that touched down in Fayette County. The first tornado moved through the western sections of Oelwein, damaging apartment buildings and numerous trees in Red Gate Park and a nearby cemetery. One of the damaged apartment buildings was condemned. The second tornado damaged several farm buildings near Maynard. The storms also produced some large hail with quarter sized hail reported in Elkader (Clayton County) and Monona (Clayton County).","9"
"880154",Dubuque,SHERRILL,03/28/2020,"1925",Tornado, ,EF1,"0","0","0","0",IA,CST-6, ,"146466",C,"61",DVN,"0","0",NWS Storm Survey, ,"3.8","50","2",WSW,"2",NNE,SHERRILL,03/28/2020,"1931","42.5947","-90.8138","42.629","-90.7553","An EF-1 tornado developed southeast of Sherrill and moved northeast causing significant damage to outbuildings and uprooting trees at several farmsteads. The tornado was rated EF-1 with maximum wind speeds estimated around 110 mph. There were no injuries, and the damaged ended before it crossed the Mississippi River.","A strong low pressure system tracked from southwest Iowa to north central Iowa Saturday afternoon. Storms developed, moved across a warm front, and four tornadoes touched down over eastern Iowa and northwest Illinois.  A few other storms brought small hail and damaging wind to portions of the region Saturday night.","10"
